alphabet_size,depth,complexity,rule_set,target,count_order_z3_status,count_order_z3_time,count_order_z3_rule_set,count_order_jump_status,count_order_jump_time,count_order_jump_rule_set,
3,4,3,[0 -> [2 3]; 1 -> [3]; 2 -> [2 1]; 3 -> [3 2];],[2 1 3 3 2 3 2 2 1 3 2 2 1 2 1 3 2 1 3 3 2],UNSAT_TIMEOUT,90.5782,[],SAT,49.0925,[],
3,4,3,[0 -> [1]; 1 -> [2 2 2]; 2 -> [3]; 3 -> [1 2];],[2 2 2 3 2 2 2 3 2 2 2 3],SAT,28.2876,[],SAT,65.5859,[],
3,4,3,[0 -> [3 1]; 1 -> [1 3]; 2 -> [2]; 3 -> [3 2];],[3 2 2 2 2 1 3 3 2 3 2 2 3 2 2 2],SAT,35.6421,[],SAT,25.1004,[],
3,4,3,[0 -> [3]; 1 -> [3 1]; 2 -> [1 3]; 3 -> [1 2];],[3 1 1 3 1 2 3 1 1 2 3 1 3 1 1 3],UNSAT_TIMEOUT,90.3288,[],SAT,14.8809,[],
3,4,3,[0 -> [3 3]; 1 -> [1 1]; 2 -> [3 1]; 3 -> [2];],[3 1 1 1 1 1 3 1 1 1 1 1],SAT,26.4589,[],SAT,30.3488,[],
3,4,3,[0 -> [2 3 3]; 1 -> [3]; 2 -> [1]; 3 -> [2 2];],[1 1 2 2 2 2 2 2 2 2],SAT,13.2566,[],SAT,6.73944,[],
3,4,3,[0 -> [2 3 3]; 1 -> [2]; 2 -> [3 1]; 3 -> [3];],[3 3 2 3 3],UNSAT_TIMEOUT,90.4186,[],SAT,3.1553,[],
3,4,3,[0 -> [2]; 1 -> [3 1 2]; 2 -> [3 1]; 3 -> [2];],[2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2],SAT,14.3802,[],UNSAT_TIMEOUT,93.8396,[],
3,4,3,[0 -> [1 1 3]; 1 -> [1 2]; 2 -> [1]; 3 -> [2];],[1 2 1 1 2 1 2 1 1 2 1 1 2 1 2 1 1 2 1],SAT,26.2247,[],SAT,22.0157,[],
3,4,3,[0 -> [3]; 1 -> [2 2 1]; 2 -> [3 1]; 3 -> [2];],[3 1 3 1 3 1 2 2 1],SAT,8.06653,[],SAT,34.7419,[],
3,4,3,[0 -> [3]; 1 -> [3]; 2 -> [1 1 1]; 3 -> [1 2];],[3 1 1 1 1 2 1 2 1 2],SAT,21.7877,[],SAT,6.91387,[],
3,4,3,[0 -> [2]; 1 -> [1 2 3]; 2 -> [1]; 3 -> [2 3];],[1 2 3 1 2 3 1 2 3 1 2 3],SAT,4.81543,[],SAT,5.53949,[],
3,4,3,[0 -> [1]; 1 -> [1 3]; 2 -> [2 1]; 3 -> [2 3];],[1 3 2 3 2 1 2 3 2 1 1 3 2 1 2 3],SAT,14.3311,[],UNSAT_TIMEOUT,93.5059,[],
3,4,3,[0 -> [1 3 1]; 1 -> [2]; 2 -> [2]; 3 -> [3 1];],[2 3 1 2 2 2 2],SAT,10.0728,[],SAT,25.6584,[],
3,4,3,[0 -> [2 1]; 1 -> [3]; 2 -> [3 3]; 3 -> [3 3];],[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3],SAT,40.1426,[],SAT,20.2494,[],
3,4,3,[0 -> [3]; 1 -> [1 1 1 3]; 2 -> [1]; 3 -> [2];],[1 1 1 3 1 1 1 3 1 1 1 3 2],SAT,85.6328,[],SAT,31.0317,[],

3,3,6,[0 -> [1 3 3]; 1 -> [1 1 2]; 2 -> [3 1]; 3 -> [1 3];],[1 1 2 1 1 2 3 1 1 1 2 1 1 2 3 1 1 3 1 1 2 1 1 2 1 1 2 3 1 1 1 2 1 3 1 1 2 1 1 2 3 1 1 1 2 1 3],UNSAT_TIMEOUT,90.3255,[],SAT,56.6646,[],
3,3,6,[0 -> [1 1 3]; 1 -> [2 1]; 2 -> [3 1 1]; 3 -> [3 2];],[3 2 2 1 2 1 3 1 1 2 1 3 2 2 1 2 1 3 1 1 2 1 3 2 3 1 1 3 2 2 1 2 1],SAT,24.1712,[],UNSAT_TIMEOUT,92.9099,[],
3,3,6,[0 -> [1 3]; 1 -> [3 1 2]; 2 -> [3 2 2]; 3 -> [1 2];],[3 1 2 3 2 2 1 2 3 1 2 3 2 2 1 2 3 2 2 3 2 2 1 2 3 1 2 3 2 2 1 2 3 2 2 3 2 2],SAT,14.524,[],SAT,18.6639,[],
3,3,6,[0 -> [3 1 1 1 3]; 1 -> [3 3]; 2 -> [2]; 3 -> [1 2];],[1 2 1 2 2 3 3 2 3 3 2 3 3 2 3 3 2 3 3 2 3 3 2 1 2 1 2 2],SAT,68.9349,[],SAT,21.0482,[],
3,3,6,[0 -> [1 2 2]; 1 -> [3 1 2]; 2 -> [3 2 1]; 3 -> [1];],[3 1 2 1 3 1 2 3 2 1 1 3 2 1 3 1 2 3 1 2 1 3 2 1 3 1 2 1 3 1 2 3 2 1 3 1 2 1 3 2 1 3 1 2 1 3 1 2 3 2 1],SAT,55.7957,[],SAT,65.0735,[],
3,3,6,[0 -> [3]; 1 -> [3 2 2]; 2 -> [2 1 1]; 3 -> [2 3 1];],[2 1 1 3 2 2 3 2 2 2 1 1 2 3 1 3 2 2 2 3 1 2 1 1 2 1 1],UNSAT_TIMEOUT,90.3347,[],SAT,87.6737,[],
3,3,6,[0 -> [2 2 1]; 1 -> [3 1 1]; 2 -> [3]; 3 -> [1 3 1];],[3 1 1 1 3 1 3 1 1 3 1 1 1 3 1 3 1 1 3 1 1 1 3 1 3 1 1 1 3 1 3 1 1 3 1 1 1 3 1 3 1 1 3 1 1],UNSAT_TIMEOUT,90.3026,[],SAT,81.8313,[],
3,3,6,[0 -> [1 1 2]; 1 -> [2 3]; 2 -> [2 2 2 3]; 3 -> [2];],[2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 3],UNSAT_TIMEOUT,90.3909,[],SAT,17.7741,[],
3,3,6,[0 -> [3 1 2 3]; 1 -> [2 1]; 2 -> [1 1]; 3 -> [2 3];],[2 1 2 1 1 1 2 3 2 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 2 1 2 1 1 1 2 3],SAT,70.5571,[],UNSAT_TIMEOUT,93.5161,[],
3,3,6,[0 -> [1 2 3]; 1 -> [3 3 2 1]; 2 -> [1]; 3 -> [3 1];],[3 1 3 3 2 1 3 1 3 3 2 1 3 3 2 1 3 1 3 1 1 3 3 2 1 3 1 3 1 1 3 3 2 1 3 1 3 3 2 1 3 1 3 1 1 3 3 2 1],UNSAT_TIMEOUT,90.4264,[],SAT,45.4927,[],
3,3,6,[0 -> [1 1]; 1 -> [2]; 2 -> [3 2 3]; 3 -> [1 3 1 1];],[1 3 1 1 3 2 3 1 3 1 1 1 3 1 1 3 2 3 1 3 1 1],SAT,3.94228,[],SAT,6.679,[],
3,3,6,[0 -> [1]; 1 -> [1 2 2]; 2 -> [3 3 1 2]; 3 -> [2 2];],[1 2 2 3 3 1 2 3 3 1 2 2 2 2 2 1 2 2 3 3 1 2 2 2 2 2 1 2 2 3 3 1 2],UNSAT_TIMEOUT,90.4529,[],SAT,42.1273,[],
3,3,6,[0 -> [3]; 1 -> [2 3]; 2 -> [1 3]; 3 -> [3 2 1 2 1];],[3 2 1 2 1 1 3 2 3 1 3 2 3 2 3 3 2 1 2 1 1 3 3 2 1 2 1 2 3 3 2 1 2 1 1 3 3 2 1 2 1],SAT,58.0682,[],SAT,17.0199,[],
3,3,6,[0 -> [1 1 1 2]; 1 -> [3]; 2 -> [1 2]; 3 -> [3 3 3];],[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 2],SAT,13.0748,[],SAT,3.64821,[],
3,3,6,[0 -> [3]; 1 -> [1 1 3]; 2 -> [1 2 3]; 3 -> [2 3 3];],[1 1 3 1 2 3 2 3 3 1 2 3 2 3 3 2 3 3 1 2 3 2 3 3 2 3 3],SAT,26.8767,[],SAT,72.6578,[],
3,3,6,[0 -> [1 1]; 1 -> [3 1]; 2 -> [3 3]; 3 -> [1 1 2 2];],[3 1 3 1 3 3 3 3 1 1 2 2 3 1 3 1 3 1 3 3 3 3 1 1 2 2 3 1],SAT,40.5463,[],SAT,34.7368,[],
